topic_seq,mapping_version,axis_code,scope_code,app_domain_code,has_state_administration_frame,coding_status,selection_status,exclusion_reason_code,coded_by,coded_at,notes
168,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
169,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
170,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
171,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,true,legacy_imported_unverified,unreviewed,,,,
172,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,true,legacy_imported_unverified,unreviewed,,,,
173,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
174,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
175,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
176,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
177,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
178,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
179,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
180,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
181,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
182,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
183,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
184,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
185,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
186,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,true,legacy_imported_unverified,unreviewed,,,,
187,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
188,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
189,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
190,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
191,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
192,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
193,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
194,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
195,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
196,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
197,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
198,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
199,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
200,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
201,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
202,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
203,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
204,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
205,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
206,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
207,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
208,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
209,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
210,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
211,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
212,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
213,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
214,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
215,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
216,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
217,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
218,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
219,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
220,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
221,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
222,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
223,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,직장,false,legacy_imported_unverified,unreviewed,,,,
224,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,직장,false,legacy_imported_unverified,unreviewed,,,,
225,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,직장,false,legacy_imported_unverified,unreviewed,,,,
226,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,직장,false,legacy_imported_unverified,unreviewed,,,,
227,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,직장,false,legacy_imported_unverified,unreviewed,,,,
228,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
229,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
230,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
231,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
232,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
233,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
234,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
235,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
236,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
237,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
238,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,true,legacy_imported_unverified,unreviewed,,,,
239,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,true,legacy_imported_unverified,unreviewed,,,,
240,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,true,legacy_imported_unverified,unreviewed,,,,
241,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
242,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
243,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
244,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
